Date,Amount,Description
2024-01-15,-45.67,Coffee Shop Purchase
2024-01-16,2500.00,Client Payment - Invoice #1001
2024-01-17,-125.00,Office Supplies - Staples
2024-01-18,-89.99,Software Subscription - Adobe
2024-01-19,1200.00,Freelance Project Payment
2024-01-20,-67.50,Business Lunch - Restaurant
2024-01-22,-250.00,Monthly Internet Service
2024-01-23,850.00,Consulting Fee Payment
2024-01-24,-34.99,Domain Renewal
2024-01-25,-156.78,Gas Station
2024-01-26,3200.00,Monthly Retainer Payment
2024-01-29,-78.45,Office Cleaning Service
2024-01-30,-199.99,Marketing Tools Subscription
2024-02-01,1800.00,Project Milestone Payment
2024-02-02,-45.00,Parking Fees
2024-02-05,-234.56,Equipment Purchase
2024-02-06,950.00,Workshop Revenue
2024-02-07,-89.00,Phone Bill
2024-02-08,-167.89,Travel Expenses
2024-02-09,2100.00,Contract Payment